<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
СОЛЛЕРС;W;05/09/16;000000;469;9870
СОЛЛЕРС;W;12/09/16;000000;447;93400
СОЛЛЕРС;W;19/09/16;000000;491;109750
СОЛЛЕРС;W;26/09/16;000000;584;205120
СОЛЛЕРС;W;03/10/16;000000;582;27930
СОЛЛЕРС;W;10/10/16;000000;580;13410
СОЛЛЕРС;W;17/10/16;000000;572;51270
СОЛЛЕРС;W;24/10/16;000000;534;12110
СОЛЛЕРС;W;31/10/16;000000;520;18820
СОЛЛЕРС;W;07/11/16;000000;527;17100
СОЛЛЕРС;W;14/11/16;000000;516;24200
СОЛЛЕРС;W;21/11/16;000000;535;24730
СОЛЛЕРС;W;28/11/16;000000;516;31720
СОЛЛЕРС;W;05/12/16;000000;538;21920
СОЛЛЕРС;W;12/12/16;000000;554;40220
СОЛЛЕРС;W;19/12/16;000000;546;51780
СОЛЛЕРС;W;26/12/16;000000;535;30890
СОЛЛЕРС;W;02/01/17;000000;576;20610
СОЛЛЕРС;W;09/01/17;000000;626;69880
СОЛЛЕРС;W;16/01/17;000000;596;64420
СОЛЛЕРС;W;23/01/17;000000;628;91750
СОЛЛЕРС;W;30/01/17;000000;623;45810
СОЛЛЕРС;W;06/02/17;000000;606;29090
СОЛЛЕРС;W;13/02/17;000000;613;17790
СОЛЛЕРС;W;20/02/17;000000;605;41110
СОЛЛЕРС;W;27/02/17;000000;597;13340
СОЛЛЕРС;W;06/03/17;000000;605;20660
СОЛЛЕРС;W;13/03/17;000000;606;34530
СОЛЛЕРС;W;20/03/17;000000;590;10000
