;accommodates;bathrooms;bedrooms;cleaning_fee;security_deposit;extra_people;guests_included;distance;size;minimum_nights;Laptop_friendly_workspace;TV;Family_kid_friendly;Host_greets_you;Smoking_allowed;host_has_profile_pic_f;host_has_profile_pic_t;room_type_Entire home/apt;room_type_Private room;room_type_Shared room;bed_type_Airbed;bed_type_Couch;bed_type_Futon;bed_type_Pull-out Sofa;bed_type_Real Bed;instant_bookable_f;instant_bookable_t;is_business_travel_ready_f;cancellation_policy_flexible;cancellation_policy_moderate;cancellation_policy_strict_14_with_grace_period;cancellation_policy_super_strict_30;cancellation_policy_super_strict_60
176852;2;1.0;1.0;30.0;350.0;5.0;2;2.713187651495918;61.41475516614575;3;False;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
177486;3;1.0;1.0;30.0;250.0;19.0;2;5.849095633442975;48.0;2;False;True;False;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
178347;3;1.0;1.0;40.0;300.0;25.0;1;2.2984001729210233;53.0;2;True;False;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
180440;1;1.0;1.0;30.0;100.0;0.0;1;6.945325008247183;30.0;60;True;True;False;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
181160;1;1.0;1.0;0.0;0.0;0.0;1;1.6758779594736386;48.64721703624321;2;False;False;False;False;False;0;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0
183206;2;1.0;1.0;25.0;100.0;10.0;1;2.899346570059534;35.0;1;False;True;False;False;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
183918;3;1.0;1.0;15.0;100.0;5.0;1;6.127531748343691;45.839224102676425;15;False;False;False;False;False;0;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0
183988;5;1.0;1.0;50.0;200.0;15.0;3;6.871036650435578;89.6509763970167;2;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0
183996;6;2.5;4.0;100.0;1000.0;50.0;6;4.64523745401974;190.0;2;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
185960;1;1.5;1.0;20.0;0.0;0.0;1;3.017671429118598;150.0;7;False;True;False;False;False;0;1;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0
186851;2;1.0;1.0;0.0;960.0;0.0;2;3.912362216896111;53.51284175557147;62;True;True;False;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
186908;4;1.0;1.0;30.0;100.0;25.0;1;21.561472813627347;63.0;2;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
